Cultivo,Kc Inicial (Kc ini),Kc Médio (Kc med),Kc Final (Kc fin),Altura Máxima (h) (m)
"Cítricos, sem cobertura do solo – 70% de cobertura vegetal","0,70","0,65","0,70","4,00"
"Cítricos, sem cobertura do solo – 50% de cobertura vegetal","0,65","0,60","0,65","3,00"
"Cítricos, sem cobertura do solo – 20% de cobertura vegetal","0,50","0,45","0,55","2,00"
"Cítricos, com cobertura ativa do solo ou plantas daninhas – 70% de cobertura vegetal","0,75","0,70","0,70","4,00"
"Cítricos, com cobertura ativa do solo ou plantas daninhas – 50% de cobertura vegetal","0,80","0,80","0,80","3,00"
"Cítricos, com cobertura ativa do solo ou plantas daninhas – 20% de cobertura vegetal","0,85","0,85","0,85","2,00"
Coníferas,"1,00","1,00","1,00","10,00"
Kiwi,"0,40","1,05","1,05","3,00"
Oliveiras (40 a 60% de cobertura do solo pela copa),"0,65","0,70","0,70","4,00"
"Pistaches, sem cobertura do solo","0,40","1,10","0,45","4,00"
Pomar de Nogueiras,"0,50","1,10","0,65","4,50"
